Country,City,Latitude,Long,Temperature(°F),Humidity %,Cloudiness %,Wind Speed(mph),Date
ZA,Port Alfred,-33.5906,26.891,65.3,87,47,2.57,10/23/22 22:23:52
PE,Paita,-5.0892,-81.1144,62.28,85,98,11.48,10/23/22 22:32:08
EC,Puerto Ayora,-0.7393,-90.3518,66.54,88,81,5.99,10/23/22 22:24:49
SB,Kirakira,-10.4544,161.9205,81.37,82,71,6.08,10/23/22 22:24:58
ID,Denpasar,-8.65,115.2167,85.71,79,40,10.36,10/23/22 22:28:24
KI,Butaritari,3.0707,172.7902,81.37,76,20,10.27,10/23/22 22:24:00
US,Jamestown,42.097,-79.2353,58.59,68,0,4.61,10/23/22 22:24:11
AU,Busselton,-33.65,115.3333,64.99,67,15,19.3,10/23/22 22:24:36
PF,Rikitea,-23.1203,-134.9692,72.86,83,57,11.86,10/23/22 22:20:00
CA,Tuktoyaktuk,69.4541,-133.0374,17.6,79,75,4.61,10/23/22 22:32:21
UG,Kalangala,-0.3089,32.225,67.35,75,56,10.69,10/23/22 22:32:23
CA,Yellowknife,62.456,-114.3525,28.92,93,100,6.91,10/23/22 22:23:45
AR,Ushuaia,-54.8,-68.3,40.66,93,0,4.61,10/23/22 22:21:37
AU,Hobart,-42.8794,147.3294,56.26,68,75,11.5,10/23/22 22:22:20
CN,Zhuanghe,39.7008,122.9911,56.08,33,10,7.47,10/23/22 22:32:30
CA,Thompson,55.7435,-97.8558,30.36,69,100,13.8,10/23/22 22:30:30
ZA,Kruisfontein,-34.0033,24.7314,59.88,94,40,2.39,10/23/22 22:32:33
NP,Jumla,29.2747,82.1838,59.29,37,0,3.74,10/23/22 22:32:34
FR,Saint-Junien,45.8833,0.9,59.58,87,74,4.43,10/23/22 22:32:36
BR,Monte Azul Paulista,-20.9072,-48.6414,70.74,49,24,5.95,10/23/22 22:32:38
RU,Pevek,69.7008,170.3133,14.14,95,100,2.48,10/23/22 22:24:39
